Rank,Symbol,Score,Signal,Price,Change%,Stop,TP,UpsideToTP%,DownsideToStop%,R/R,Regime,Sentiment,Momentum,Entry OK,HQ Signal
215,BGC,56,SELL,11.475,0.0,11.26,12.03,4.84,-1.87,2.6,Trend,Neutral,neutral,No,No
216,OXLCP,56,SELL,25.07,0.0,25.05,25.12,0.2,-0.08,2.75,Range,Neutral,neutral,No,No
217,TFSL,56,SELL,15.14,0.0,15.06,15.35,1.39,-0.53,2.6,Trend,Neutral,neutral,No,No
218,LSTR,56,SELL,183.0,0.58,182.62,187.52,2.47,-0.21,2.75,Trend,Neutral,neutral,No,No
219,COHU,56,SELL,49.53,4.32,49.38,51.41,3.8,-0.3,3.33,Trend,Neutral,neutral,No,No
220,OUST,56,BUY,25.36,3.47,24.55,27.38,7.97,-3.19,2.6,Trend,Neutral,neutral,Yes,Yes
221,HTLD,56,SELL,13.13,1.16,13.07,13.46,2.51,-0.46,2.6,Trend,Neutral,neutral,No,No
222,LWLG,56,SELL,15.78,6.41,15.28,17.5,10.9,-3.17,3.33,Trend,Neutral,neutral,No,No
223,PPIH,56,SELL,33.43,1.89,32.96,34.49,3.17,-1.41,3.33,Trend,Neutral,neutral,No,No
224,NNBR,56,SELL,2.82,2.17,2.77,3.07,8.87,-1.77,3.33,Trend,Neutral,neutral,No,No
225,LLYVA,56,BUY,94.055,0.0,93.42,96.18,2.26,-0.68,3.33,Trend,Neutral,neutral,No,Yes
