symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
FSLR,217.555,0,True,True,2.064267,False,2025-09-22 15:45,True,False,True,True,2,0.49,3.25,8.61,True,1.0,True,0.83,False,False,213.43,225.81,48,2.0,1.9
ENPH,40.565,0,False,True,0.424247,False,2025-09-22 15:45,True,False,True,False,1,0.36,4.76,-28.14,False,0.67,True,0.83,False,False,39.72,42.26,235,2.0,2.09
V,342.255,0,True,False,1.022029,False,2025-09-22 15:45,True,False,False,False,0,0.26,-1.14,2.84,False,0.67,True,1.0,False,False,340.21,346.34,97,2.0,0.6
SPY,664.675,0,True,True,0.621213,False,2025-09-22 15:45,True,False,False,True,1,1.28,0.84,6.37,True,1.0,True,0.67,True,False,663.43,667.16,160,2.0,0.19
MA,585.845,0,True,True,1.622856,False,2025-09-22 15:45,True,False,False,True,1,0.4,-2.14,4.97,False,0.67,True,0.5,False,False,582.6,592.34,61,2.0,0.55
AXP,344.92,0,True,True,1.187844,False,2025-09-22 15:45,True,False,True,True,2,0.3,2.65,7.72,True,1.0,True,0.67,False,False,342.54,349.67,84,2.0,0.69
QQQ,600.13,0,True,True,0.698187,False,2025-09-22 15:45,True,False,False,True,1,1.15,1.38,7.76,True,1.0,True,0.67,True,False,598.73,602.92,143,2.0,0.23
IWM,242.995,0,True,True,0.56182,False,2025-09-22 15:45,True,False,False,True,1,0.37,1.72,5.57,True,1.0,True,0.67,False,False,241.87,245.24,177,2.0,0.46
DIA,462.97,0,True,True,0.664139,False,2025-09-22 15:45,True,False,False,True,1,0.35,0.66,4.39,True,1.0,True,0.67,False,False,461.64,465.63,150,2.0,0.29
XLK,280.3,0,True,True,0.415897,False,2025-09-22 15:45,True,False,True,True,2,0.34,3.27,8.89,True,1.0,True,0.67,False,False,279.47,281.96,240,2.0,0.3
XLF,53.93,0,True,True,0.099672,False,2025-09-22 15:45,True,False,False,True,1,1.24,1.29,5.21,False,0.67,False,0.33,False,False,53.73,54.33,1003,2.0,0.37
XLV,137.01,0,False,True,0.243066,False,2025-09-22 15:45,True,False,False,False,0,0.34,-0.14,-1.31,False,0.33,False,0.33,False,False,136.52,137.98,411,2.0,0.35
XLE,87.6,0,True,False,0.209299,False,2025-09-22 15:45,True,False,False,False,0,0.31,-2.66,0.88,False,0.33,False,0.17,False,False,87.18,88.44,477,2.0,0.48
XLY,241.46,0,True,True,0.380518,False,2025-09-22 15:45,True,False,False,True,1,0.93,-0.33,6.55,True,1.0,False,0.33,False,False,240.7,242.98,262,2.0,0.32
XLI,152.37,0,True,True,0.258168,False,2025-09-22 15:45,True,False,False,True,1,0.23,0.81,6.09,False,0.67,True,0.5,False,False,151.85,153.4,387,2.0,0.34
XLB,90.18,0,True,False,0.18861,False,2025-09-22 15:45,True,False,False,False,0,0.32,-0.76,2.04,False,0.33,False,0.0,False,False,89.8,90.93,530,2.0,0.42
XLC,118.73,0,True,True,0.192524,False,2025-09-22 15:45,True,False,False,True,1,0.36,-0.08,8.82,False,0.67,False,0.0,False,False,118.34,119.5,519,2.0,0.32
XLP,78.04,0,False,False,0.13332,False,2025-09-22 15:45,True,False,False,False,0,0.3,-2.74,0.78,False,0.0,False,0.0,False,False,77.77,78.57,750,2.0,0.34
XLU,84.36,0,True,False,0.165875,False,2025-09-22 15:45,True,False,False,True,1,0.31,0.01,4.88,False,0.33,False,0.17,False,False,84.03,85.02,602,2.0,0.39
SMH,319.0201,0,True,True,0.592607,False,2025-09-22 15:45,True,False,True,True,2,0.48,4.51,11.46,True,1.0,True,0.5,False,False,317.83,321.39,168,2.0,0.37
XLRE,41.52,0,True,False,0.096135,False,2025-09-22 15:45,True,False,False,False,0,0.44,-1.21,1.35,False,0.33,False,0.0,False,False,41.33,41.9,1040,2.0,0.46
SOXX,268.755,0,True,True,0.610836,False,2025-09-22 15:45,True,False,True,True,2,0.32,3.96,8.61,True,1.0,True,0.5,False,False,267.53,271.2,163,2.0,0.45
QCOM,168.7034,0,True,True,0.709496,False,2025-09-22 15:45,True,True,False,False,1,2.29,1.65,0.69,True,1.0,True,0.67,False,False,167.28,171.54,140,2.0,0.84
MU,166.375,0,True,True,0.928614,False,2025-09-22 15:45,True,False,True,True,2,1.37,2.46,16.09,True,1.0,False,0.33,False,False,164.52,170.09,107,2.0,1.12
ASML,956.525,0,True,True,4.024079,False,2025-09-22 15:45,True,False,True,False,1,1.32,6.12,2.83,True,1.0,True,0.67,False,False,948.48,972.62,24,2.0,0.84
AMGN,286.23,0,False,True,1.141703,False,2025-09-22 15:45,True,True,True,False,2,2.99,4.52,-0.48,False,0.67,True,0.67,False,False,283.95,290.8,87,2.0,0.8
TSM,270.51,0,True,True,1.135134,False,2025-09-22 15:45,True,False,False,True,1,1.38,1.07,14.81,True,1.0,True,0.5,False,False,268.24,275.05,88,2.0,0.84
TXN,180.43,0,False,False,0.523938,False,2025-09-22 15:45,True,True,False,False,1,1.89,0.98,1.59,False,0.33,True,0.67,False,False,179.38,182.53,190,2.0,0.58
GILD,113.06,0,True,False,0.425566,False,2025-09-22 15:45,True,False,False,True,1,0.26,0.71,8.57,False,0.33,False,0.33,False,False,112.21,114.76,234,2.0,0.75
BMY,45.265,0,False,False,0.145697,False,2025-09-22 15:45,True,False,False,False,0,0.27,-1.92,-4.3,False,0.0,True,0.5,False,False,44.97,45.85,686,2.0,0.64
ZTS,145.1401,0,False,False,0.498613,False,2025-09-22 15:45,True,False,False,False,0,0.21,-1.22,-4.52,False,0.0,False,0.17,False,False,144.14,147.13,200,2.0,0.69
REGN,596.28,0,False,True,2.147908,False,2025-09-22 15:45,True,False,False,False,0,0.2,1.84,-10.82,False,0.67,True,0.83,False,False,591.98,604.87,46,2.0,0.72
