date,symbol,close,rsi,macd_hist,atr,ema50,ema200,regime,direction,score,filter_score,volume_spike,price_momentum,trend_strength,momentum_score,entry_ok,strategy_tag,stop_loss,take_profit,tp1,tp2,tp3,risk_reward,stop_loss_pct,reco_score,reco_strength
2026-01-29,PH,946.6357421875,62.21,-2.3301,18.9595,887.61,781.26,True,True,1,2,True,False,True,48,False,Defansif 🛡️,899.24,1069.87,1031.95,1069.87,,2.6,5.01,9.07,50
2026-01-30,PH,934.09912109375,56.94,-2.3396,19.471,889.43,782.78,True,True,1,1,False,False,True,45,False,Defansif 🛡️,885.42,1060.66,1021.72,1060.66,,2.6,5.21,6.974,38
2026-02-02,PH,950.22900390625,61.47,-1.3366,19.5489,891.82,784.45,True,True,1,1,False,False,True,47,False,Defansif 🛡️,901.36,1077.3,1038.2,1077.3,,2.6,5.14,7.078,39
2026-02-03,PH,962.5361328125,64.53,0.0077,19.6355,894.59,786.22,True,True,1,1,False,False,True,79,False,Sniper 🎯,933.08,1060.71,1021.44,1060.71,1119.62,3.33,3.06,7.083,39
2026-02-04,PH,966.1892700195312,65.41,0.9429,19.5955,897.4,788.01,True,True,1,1,False,False,True,80,False,Sniper 🎯,936.8,1064.17,1024.98,1064.17,1122.95,3.33,3.04,7.113,39
2026-02-05,PH,965.8199462890625,65.23,1.314,19.8833,900.08,789.78,True,True,1,1,False,False,True,80,False,Sniper 🎯,935.99,1065.24,1025.47,1065.24,1124.89,3.33,3.09,7.033,38
2026-02-06,PH,976.489990234375,67.91,2.0136,20.1281,903.08,791.63,True,True,0,1,False,False,True,81,False,Sniper 🎯,946.3,1077.13,1036.87,1077.13,1137.51,3.33,3.09,6.091,33
2026-02-09,PH,978.8699951171875,68.5,2.3486,19.8225,906.05,793.5,True,True,0,1,False,False,True,81,False,Sniper 🎯,949.14,1077.98,1038.34,1077.98,1137.45,3.33,3.04,6.06,33
2026-02-10,PH,991.5700073242188,71.48,3.091,19.6509,909.4,795.47,True,True,0,1,False,False,True,83,False,Sniper 🎯,962.09,1089.82,1050.52,1089.82,1148.78,3.33,2.97,6.053,33
2026-02-11,PH,995.8300170898438,72.43,3.504,19.7416,912.79,797.46,True,True,0,1,False,False,True,84,False,Sniper 🎯,966.22,1094.54,1055.05,1094.54,1153.76,3.33,2.97,6.061,33
2026-02-12,PH,982.2100219726562,65.02,2.5399,20.95,915.52,799.3,True,True,0,1,False,False,True,80,False,Sniper 🎯,950.78,1086.96,1045.06,1086.96,1149.81,3.33,3.2,5.973,33
2026-02-13,PH,1001.75,69.79,2.8735,21.405,918.9,801.32,True,True,0,1,False,False,True,82,False,Sniper 🎯,969.64,1108.78,1065.97,1108.78,1172.99,3.33,3.21,6.04,33
2025-11-20,GD,338.05902099609375,46.4,-1.2101,6.3181,335.49,304.08,True,True,0,1,False,False,True,39,False,Defansif 🛡️,322.26,379.13,366.49,379.13,,2.6,4.67,5.979,33
2025-11-21,GD,338.9553527832031,47.72,-1.2383,6.3477,335.63,304.43,True,True,0,1,False,False,True,40,False,Defansif 🛡️,323.09,380.22,367.52,380.22,,2.6,4.68,5.977,33
2025-11-24,GD,336.75433349609375,44.81,-1.3511,6.3204,335.67,304.75,True,True,1,1,False,False,True,38,False,Defansif 🛡️,320.95,377.84,365.2,377.84,,2.6,4.69,6.971,38
2025-11-25,GD,339.682373046875,49.25,-1.1806,6.2197,335.83,305.09,True,True,1,1,False,False,True,40,False,Defansif 🛡️,324.13,380.11,367.67,380.11,,2.6,4.58,7.017,38
2025-11-26,GD,338.6565856933594,47.8,-1.091,6.0251,335.94,305.43,True,True,0,1,False,False,True,40,False,Defansif 🛡️,323.59,377.82,365.77,377.82,,2.6,4.45,5.982,33
2025-11-28,GD,340.2401123046875,50.23,-0.888,5.7719,336.11,305.77,True,True,0,1,False,False,True,41,False,Defansif 🛡️,325.81,377.76,366.21,377.76,,2.6,4.24,6.021,33
2025-12-01,GD,331.0277404785156,38.87,-1.3114,6.039,335.91,306.03,True,False,0,1,False,False,True,5,False,Defansif 🛡️,315.93,370.28,358.2,370.28,,2.6,4.56,3.946,22
2025-12-02,GD,334.4338073730469,43.92,-1.2969,5.9654,335.85,306.31,True,False,2,1,False,False,True,7,False,Defansif 🛡️,319.52,373.21,361.28,373.21,,2.6,4.46,6.021,33
2025-12-03,GD,336.70452880859375,47.06,-1.0783,5.8915,335.89,306.61,True,True,0,1,False,False,True,39,False,Defansif 🛡️,321.98,375.0,363.22,375.0,,2.6,4.37,5.979,33
2025-12-04,GD,340.309814453125,51.69,-0.6555,5.8085,336.06,306.95,True,True,1,1,False,False,True,42,False,Defansif 🛡️,325.79,378.07,366.45,378.07,,2.6,4.27,7.056,39
2025-12-05,GD,335.93768310546875,46.39,-0.6345,5.9421,336.06,307.24,True,False,1,1,False,False,True,9,False,Defansif 🛡️,321.08,374.56,362.68,374.56,,2.6,4.42,4.974,27
2025-12-08,GD,334.6429748535156,44.92,-0.6687,5.852,336.0,307.51,True,False,1,1,False,False,True,8,False,Defansif 🛡️,320.01,372.68,360.98,372.68,,2.6,4.37,4.988,27
2025-12-09,GD,332.9100341796875,42.97,-0.7621,5.8274,335.88,307.76,True,False,0,1,False,False,True,7,False,Defansif 🛡️,318.34,370.79,359.13,370.79,,2.6,4.38,3.957,22
2025-12-10,GD,340.8376770019531,53.05,-0.2694,6.2229,336.07,308.09,True,True,1,2,False,True,True,43,False,Defansif 🛡️,325.28,381.29,368.84,381.29,,2.6,4.56,9.048,49
2025-12-11,GD,340.0907287597656,52.12,0.0118,6.0921,336.23,308.41,True,True,1,1,False,False,True,72,False,Sniper 🎯,330.95,370.55,358.37,370.55,388.83,3.33,2.69,7.033,38
2025-12-12,GD,336.116943359375,47.34,-0.0602,6.0283,336.23,308.68,True,False,0,1,False,False,True,9,False,Defansif 🛡️,321.05,375.3,363.24,375.3,,2.6,4.48,3.977,22
2025-12-15,GD,339.3039245605469,51.2,0.1072,5.8716,336.35,308.99,True,True,1,1,False,False,True,72,False,Sniper 🎯,330.5,368.66,356.92,368.66,386.28,3.33,2.6,7.019,38
2025-12-16,GD,336.116943359375,47.45,0.0089,6.007,336.34,309.26,True,False,0,1,False,False,True,39,False,Defansif 🛡️,321.1,375.16,363.15,375.16,,2.6,4.47,3.981,22
2025-12-17,GD,335.0413513183594,46.22,-0.116,6.0389,336.29,309.51,True,False,0,1,False,False,True,9,False,Defansif 🛡️,319.94,374.29,362.22,374.29,,2.6,4.51,3.966,22
2025-12-18,GD,335.9675598144531,47.48,-0.123,5.8936,336.27,309.78,True,False,0,1,False,False,True,9,False,Defansif 🛡️,321.23,374.28,362.49,374.28,,2.6,4.39,3.976,22
2025-12-19,GD,337.97930908203125,50.22,0.0137,5.787,336.34,310.06,True,True,2,2,True,False,True,71,True,Sniper 🎯,329.3,366.91,355.34,366.91,384.28,3.33,2.57,10.012,55
2025-12-22,GD,343.7856140136719,57.16,0.4756,5.9591,336.63,310.39,True,True,0,1,False,False,True,75,False,Sniper 🎯,334.85,373.58,361.66,373.58,391.46,3.33,2.6,6.034,33
2025-12-23,GD,342.44110107421875,55.24,0.6595,5.8365,336.86,310.71,True,True,0,1,False,False,True,74,False,Sniper 🎯,333.69,371.62,359.95,371.62,389.13,3.33,2.56,6.039,33
2025-12-24,GD,343.9848327636719,57.02,0.8425,5.616,337.14,311.04,True,True,0,1,False,False,True,75,False,Sniper 🎯,335.56,372.06,360.83,372.06,388.91,3.33,2.45,6.053,33
2025-12-26,GD,340.80780029296875,52.39,0.712,5.5449,337.28,311.34,True,True,0,1,False,False,True,72,False,Sniper 🎯,332.49,368.53,357.44,368.53,385.17,3.33,2.44,5.982,33
2025-12-29,GD,339.09478759765625,50.03,0.4838,5.3893,337.36,311.62,True,True,0,1,False,False,True,71,False,Sniper 🎯,331.01,366.04,355.26,366.04,382.21,3.33,2.38,5.98,33
2025-12-30,GD,338.0888977050781,48.65,0.2502,5.1317,337.38,311.88,True,True,0,1,False,False,True,70,False,Sniper 🎯,330.39,363.75,353.48,363.75,379.14,3.33,2.28,5.966,33
2025-12-31,GD,335.2903137207031,44.92,-0.0894,5.086,337.3,312.11,True,False,0,1,False,False,True,8,False,Defansif 🛡️,322.58,368.35,358.18,368.35,,2.6,3.79,3.958,22
2026-01-02,GD,342.0028991699219,54.02,0.1296,5.3764,337.49,312.41,True,True,1,1,False,False,True,73,False,Sniper 🎯,333.94,368.89,358.13,368.89,385.01,3.33,2.36,7.04,38
2026-01-05,GD,354.1134338378906,65.19,1.0312,5.9115,338.14,312.83,True,True,1,3,True,True,True,80,False,Sniper 🎯,345.25,383.67,371.85,383.67,401.41,3.33,2.5,11.071,60
2026-01-06,GD,359.2424621582031,68.66,1.8657,5.9431,338.97,313.29,True,True,1,2,False,True,True,82,False,Sniper 🎯,350.33,388.96,377.07,388.96,406.79,3.33,2.48,9.143,50
2026-01-07,GD,344.2337951660156,52.24,1.3249,6.7749,339.17,313.6,True,True,1,2,True,False,True,72,False,Sniper 🎯,334.07,378.11,364.56,378.11,398.43,3.33,2.95,8.916,49
2026-01-08,GD,350.01019287109375,56.55,1.274,7.8574,339.6,313.96,True,True,1,2,True,False,True,75,False,Sniper 🎯,338.22,389.3,373.58,389.3,412.87,3.33,3.37,9.088,50
2026-01-09,GD,352.4502258300781,58.26,1.3168,7.6739,340.1,314.34,True,True,1,2,True,False,True,76,False,Sniper 🎯,340.94,390.82,375.47,390.82,413.84,3.33,3.27,9.061,50
2026-01-12,GD,359.4715270996094,62.8,1.7056,7.6387,340.86,314.79,True,True,1,1,False,False,True,78,False,Sniper 🎯,348.01,397.67,382.39,397.67,420.58,3.33,3.19,7.089,39
2026-01-13,GD,361.8219299316406,64.21,1.9889,7.5299,341.68,315.26,True,True,0,1,False,False,True,79,False,Sniper 🎯,350.53,399.47,384.41,399.47,422.06,3.33,3.12,6.067,33
2026-01-14,GD,364.5109558105469,65.8,2.2082,7.443,342.58,315.75,True,True,0,2,False,True,True,80,False,Sniper 🎯,353.35,401.73,386.84,401.73,424.06,3.33,3.06,8.118,44
2026-01-15,GD,367.19000244140625,67.35,2.3703,7.5267,343.54,316.26,True,True,1,1,False,False,True,81,False,Sniper 🎯,355.9,404.82,389.77,404.82,427.4,3.33,3.07,7.098,39
2026-01-16,GD,367.3800048828125,67.47,2.3238,7.2948,344.48,316.77,True,True,1,1,False,False,True,81,False,Sniper 🎯,356.44,403.85,389.26,403.85,425.74,3.33,2.98,7.085,39
2026-01-20,GD,359.1700134277344,58.1,1.6077,7.5223,345.05,317.19,True,True,1,1,False,False,True,76,False,Sniper 🎯,347.89,396.78,381.74,396.78,419.35,3.33,3.14,6.955,38
2026-01-21,GD,364.7799987792969,61.98,1.3876,7.545,345.83,317.66,True,True,0,1,False,False,True,78,False,Sniper 🎯,353.46,402.51,387.42,402.51,425.14,3.33,3.1,6.031,33
2026-01-22,GD,365.8299865722656,62.68,1.1958,7.3175,346.61,318.14,True,True,0,1,False,False,True,78,False,Sniper 🎯,354.85,402.42,387.78,402.42,424.37,3.33,3.0,5.992,33
2026-01-23,GD,363.2699890136719,59.8,0.7987,7.312,347.27,318.59,True,True,0,1,False,False,True,77,False,Sniper 🎯,352.3,399.83,385.21,399.83,421.77,3.33,3.02,5.979,33
2026-01-26,GD,363.5400085449219,60.01,0.4725,7.1233,347.9,319.04,True,True,0,1,False,False,True,77,False,Sniper 🎯,352.86,399.16,384.91,399.16,420.53,3.33,2.94,5.979,33
2026-01-27,GD,366.6199951171875,62.41,0.3862,7.0338,348.64,319.51,True,True,0,1,False,False,True,78,False,Sniper 🎯,356.07,401.79,387.72,401.79,422.89,3.33,2.88,6.041,33
2026-01-28,GD,356.67999267578125,51.65,-0.3772,8.1613,348.95,319.88,True,True,1,2,True,False,True,42,False,Defansif 🛡️,336.28,409.73,393.41,409.73,,2.6,5.72,8.946,49
2026-01-29,GD,349.95001220703125,45.88,-1.3191,8.4727,348.99,320.18,True,True,0,1,False,False,True,39,False,Defansif 🛡️,328.77,405.02,388.08,405.02,,2.6,6.05,5.913,32
2026-01-30,GD,351.0899963378906,46.96,-1.8183,8.3046,349.07,320.49,True,True,1,1,False,False,True,39,False,Defansif 🛡️,330.33,405.07,388.46,405.07,,2.6,5.91,6.915,38
2026-02-02,GD,346.3699951171875,43.12,-2.3837,8.2164,348.97,320.75,True,False,0,1,False,False,True,7,False,Defansif 🛡️,325.83,399.78,383.34,399.78,,2.6,5.93,3.906,21
2026-02-03,GD,355.30999755859375,51.25,-2.0837,8.3031,349.22,321.09,True,True,1,1,False,False,True,42,False,Defansif 🛡️,334.55,409.28,392.67,409.28,,2.6,5.84,7.052,39
2026-02-04,GD,353.3699951171875,49.59,-1.9467,8.4543,349.38,321.41,True,True,0,1,False,False,True,41,False,Defansif 🛡️,332.23,408.32,391.41,408.32,,2.6,5.98,5.981,33
2026-02-05,GD,352.04998779296875,48.45,-1.875,8.4804,349.48,321.72,True,True,0,1,False,False,True,40,False,Defansif 🛡️,330.85,407.17,390.21,407.17,,2.6,6.02,6.033,33
2026-02-06,GD,360.07000732421875,55.22,-1.2476,8.5604,349.9,322.1,True,True,0,1,False,False,True,44,False,Defansif 🛡️,338.67,415.71,398.59,415.71,,2.6,5.94,6.046,33
2026-02-09,GD,360.1000061035156,55.25,-0.812,8.2182,350.3,322.48,True,True,0,1,False,False,True,44,False,Defansif 🛡️,339.55,413.52,397.08,413.52,,2.6,5.71,6.079,33
2026-02-10,GD,358.8299865722656,53.95,-0.6004,8.0041,350.63,322.84,True,True,0,1,False,False,True,43,False,Defansif 🛡️,338.82,410.86,394.85,410.86,,2.6,5.58,6.039,33
2026-02-11,GD,346.3399963378906,43.17,-1.255,8.5967,350.47,323.07,True,False,1,1,False,False,True,7,False,Defansif 🛡️,324.85,402.22,385.02,402.22,,2.6,6.21,4.93,27
